pos (in m) ,B_y(task1),B_y(task2),B_y(task3-b=2R),B_y(task3-b=R),B_y(task3-b=R/2)
0.69,52,569,246,289,348
0.67,60,1193,297,348,420
0.65,80.7,1631,362,421,511
0.64,103.5,1918,435,509,620
0.63,151.2,2257,521,610,746
0.62,246,2632,612,719,886
0.61,580.5,3043,699,827,1032
0.6,1278,3466,771,926,1174
0.59,2304,3943,815,1005,1292
0.58,2640,4369,825,1056,1375
0.57,2756,4705,801,1080,1410
0.56,2812,4941,779,1085,1411
0.55,2834,5024,753,1088,1398
0.54,2842,4933,724,1089,1374
0.53,2844,4687,694,1089,1337
0.52,2838,4378,666,1089,1293
0.51,2837,3917,636,1089,1239
0.5,2830,3477,611,1088,1177
0.49,2815,3035,590,1087,1109
0.48,2792,2635,571,1081,1039
0.47,2735,2212,559,1073,964
0.46,2616,1898,552,1059,891
0.45,2243,1638,548,1039,824
0.44,1587,1397,558,965,673
0.43,582,1202,584,889,570
0.42,269,1038,632,785,470
0.41,147,881,688,676,386
0.4,107,767,750,570,318
0.39,85,663,798,475,261
0.38,78,576,826,392,216
