Position [m],B_y(task3-b=2R),B_y(task3-b=R),B_y(task3-b=R/2)
2,246,289,348
4,297,348,420
6,362,421,511
8,435,509,620
10,521,610,746
12,612,719,886
14,699,827,1032
16,771,926,1174
18,815,1005,1292
20,825,1056,1375
22,801,1080,1410
23,779,1085,1411
24,753,1088,1398
25,724,1089,1374
26,694,1089,1337
27,666,1089,1293
28,636,1089,1239
29,611,1088,1177
30,590,1087,1109
31,571,1081,1039
32,559,1073,964
33,552,1059,891
34,548,1039,824
36,558,965,673
38,584,889,570
40,632,785,470
42,688,676,386
44,750,570,318
46,798,475,261
48,826,392,216
50,821,324,180
52,783,268,150
54,714,,
56,631,,
58,539,,
60,454,,
